ISO	CaseForms_Jesus	Language	Latitude	Longitude
big	Different	Biangai	-7.33882	146.765
bim	Same	Bimoba	10.4575	0.06121
bis	Same	Bislama	-15.4	166.89
biu	Different	Biete	24.273507	92.94342
biv	Same	Southern Birifor	9.2873	-2.72672
bjp	Same	Fanamaket	NA	NA
bjr	Different	Binumarien	-6.22068	146.102
bjv	Same	Nangnda	8.60006	17.2691
bkd	Same	Talaandig-Binukid	8.15933	124.892
bkq	Same	Bakairí	-14.2628	305.2966
bku	Same	Buhid	12.6396	121.21
bkv	Same	Bekwarra	6.73737	8.86489
blh	Same	Kuwaa	7.54885	-9.9765
blw	Same	Balangao	17.0994	121.272
blz	Same	Balantak	-0.86809	123.289
bmb	Same	Bembe	-4.49057	29.0507
bmh	Same	Kein	-5.3373	145.483
bmk	Same	Ghayavi	-10.011	149.84
bmq	Same	Bomu	12.3816	-4.538
bmr	Different	Muinane	-0.8652	287.5751
bmu	Different	Burum-Mindik	-6.51663	147.333
bnj	Same	Eastern Tawbuid	12.8968	121.177
bnp	Same	Bola	-5.55792	150.095
boa	Different	Bora	-2.000259	287.742934
boj	Same	Anjam	-5.45899	145.717
bom	Same	Berom	9.67037	8.81221
bon	Same	Bine	-9.08879	142.893
bov	Same	Tuwuli	7.31095	0.38008
box	Same	Buamu	11.1687	-3.50303
bpr	Same	Koronadal Blaan	6.20529	125.007
bps	Same	Sarangani Blaan	6.03691	125.354
bqc	Same	Boko (Benin)	10.5189	3.71771
bqj	Same	Bandial	12.5258	-16.4245
bqp	Same	Busa	9.91074	4.39929
bre	Same	Breton	48.2452	-3.78934
bru	Same	Eastern Bru	17.1311	105.671
bsc	Same	Bassari-Tanda	12.4529	-13.3495
bsn	Different	Barasana-Eduria	0.02193	289.192
bsp	Same	Baga Sitemu	10.4793	-14.4756
bss	Same	Akoose	4.9243	9.65522
btd	Same	Batak Dairi	2.51438	98.2427
bth	Same	Biatah Bidayuh	1.17596	110.254
bto	Same	Iriga Bicolano	13.3896	123.331
bts	Same	Batak Simalungun	3.04372	98.9083
btt	Same	Bete-Bendi	6.62037	9.20189
btx	Same	Batak Karo	2.12787	98.2517
bud	Same	Ntcham	9.23971	0.599275
bug	Same	Buginese	-4.47	119.977
buk	Same	Bugawac	-6.67519	147.32
bul	Same	Bulgarian	43.3646	25.047
bum	Same	Bulu (Cameroon)	3.16141	11.6365
bus	Same	Bokobaru	9.52724	3.80058
bvr	Same	Burarra	-12.3061	134.365
bwq	Same	Southern Bobo Madaré	11.5409	-4.26497
bwu	Same	Buli (Ghana)	10.5763	-1.26748
bxh	Same	Buhutu	-10.5074	150.18
bxr	Different	Russia Buriat	50.85331	105.5637
byr	Different	Baruya	-6.89261	145.818
byx	Same	Qaqet	-4.45258	151.702
bzd	Same	Bribri	9.39794	276.9461
bzh	Same	Mapos Buang	-6.86672	146.774
bzi	Same	Bisu	20.8542	99.9862
bzj	Same	Belize Kriol English	17.3941	271.3719
caa	Same	Chortí	14.818	270.7637
cab	Same	Garifuna	15.3529	273.0909
cac	Same	Chuj	15.8399	268.24
caf	Same	Southern Carrier	53.1763	235.548
cag	Same	Nivaclé	-22.8557	298.2394
cak	Same	Kaqchikel	14.4662	269.0119
cao	Same	Chácobo	-12.133	293.2836
cap	Different	Chipaya	-18.73951	292.10367
caq	Same	Car Nicobarese	9.18853	92.7671
car	Same	Galibi Carib	5.83772	303.1677
cas	Same	Mosetén-Chimané	-14.64448	292.16244
cat	Same	Catalan	41.453	1.569
cav	Same	Cavineña	-13.3544	293.3723
cax	Same	Lomeriano-Ignaciano Chiquitano	-16.769554	298.182205
cbc	Different	Carapana	0.06168	290.3535
cbi	Different	Cha'palaa	0.71489	280.9492
cbk	Same	Chavacano	7.435034	122.18849
cbr	Different	Cashibo-Cacataibo	-8.70232	284.5794
cbs	Same	Cashinahua	-9.72027	288.8267
cbt	Different	Shawi	-5.63764	283.1748
cbu	Different	Candoshi-Shapra	-4.23835	283.0653
cbv	Different	Kakua	0.88778	290.4341
cce	Same	Chopi	-24.8327	34.1097
cco	Same	Comaltepec Chinantec	17.5909	263.555
ceb	Same	Cebuano	8.38799	124.367
ceg	Same	Chamacoco	-20.5899	301.7995
cek	Same	Eastern Khumi Chin	21.3425	93.155
ces	Different	Czech	49.873398	15.10437
cfm	Same	Falam Chin	23.7892833333	92.3254633333
cgc	Same	Kagayanen	10.4656	119.872
cha	Same	Chamorro	13.438011	144.74474
chd	Same	Highland Oaxaca Chontal	16.1849	264.2699
che	Different	Chechen	43.5	45.5
chf	Same	Tabasco Chontal	18.1713	267.2633
chk	Same	Chuukese	7.346993	151.598607
chq	Same	Quiotepec Chinantec	17.5621	263.398
chr	Same	Cherokee	35.4664	276.837
chu	Different	Church Slavic	43.7171	22.8442
chv	Different	Chuvash	55.48701	47.16298
chz	Same	Ozumacín Chinantec	17.6976	263.7751
cjo	Same	Ashéninka Pajonal	-10.7583	285.7986
cjp	Same	Cabécar	9.67031	276.5898
cjs	Same	Shor	52.32607	88.4344
cjv	Same	Chuave	-6.17824	145.139
ckb	Different	Central Kurdish	35.6539	45.8077
cko	Same	Anufo	10.2839	0.56021
ckt	Different	Chukchi	68.6436	170.045
cle	Same	Lealao Chinantec	17.3162	264.0735
clu	Different	Caluyanun	12.0489	121.384
cly	Same	Eastern Highland Chatino	16.2437	262.8474
cme	Different	Cerma	10.1245	-4.94917
cmo	Same	Central Mnong	12.6313	107.301
cnh	Same	Haka Chin	22.8735	92.8208
cni	Same	Asháninka	-11.9311	286.0927
cnl	Same	Lalana Chinantec	17.58251	263.99355
cnt	Same	Tepetotutla Chinantec	17.7115	263.4596
cnw	Same	Ngawn Chin	21.93031	93.58348
coe	Different	Koreguaje	0.92316	284.6525
cof	Different	Tsafiki	-0.21181	280.7653
cok	Same	Santa Teresa Cora	22.7102	255.3
con	Different	Cofán	0.276675	282.9357
cop	Same	Coptic	29.472	31.2053
cor	Same	Cornish	50.5233	-4.18619
cot	Same	Caquinte	-11.4812	286.5549
cpa	Same	Palantla Chinantec	17.884	263.6593
cpb	Same	Ucayali-Yurúa Ashéninka	-9.49424	286.8164
cpc	Same	Ajyíninka Apurucayali	-9.82364	285.38053
cpu	Same	Pichis Ashéninka	-10.47249	285.39719
cpy	Same	South Ucayali Ashéninka	-10.37875	285.939694
crh	Different	Crimean Tatar	45	34.08
crm	Different	Moose Cree	51.0686	279.3088
crn	Same	El Nayar Cora	22.4099	255.533
crq	Same	Iyo'wujwa Chorote	-22.2067	297.3492
crs	Same	Seselwa Creole French	-4.62314	55.4503
crt	Same	Iyojwa'ja Chorote	-22.1896	296.7617
crx	Same	Central Carrier	54.3768	235.672
csk	Same	Jola-Esulalu	12.5089	-16.5539
cso	Same	Sochiapam Chinantec	17.7985	263.3921
csy	Same	Sizang Chin	23.8192	93.6884
cta	Same	Tataltepec Chatino	16.2963	262.4689
ctd	Same	Tedim Chin	23.6079	93.519
ctp	Same	Western Highland Chatino	16.2495	262.6756
ctu	Same	Chol	17.4897	267.5302
cub	Different	Cubeo	1.32382	289.8061
cuc	Same	Usila Chinantec	17.9184	263.5926
cui	Same	Cuiba	6.19829	290.1803
cuk	Same	San Blas Kuna	9.15686	281.6925
cul	Same	Culina	-8.55268	289.3352
cux	Same	Tepeuxila Cuicatec	17.756	263.212
cwe	Same	Kwere	-6.50666	38.4449
cwt	Same	Kuwaataay	12.48255	-16.74835
cya	Same	Nopala Chatino	16.0954	262.8661
cym	Same	Welsh	52	-4
czt	Same	Zotung Chin	22.5298	93.29
daa	Same	Dangaleat	12.1517	18.385
dad	Same	Marik	-5.349	145.59
dah	Same	Gwahatike	-5.64555	146.455
dan	Same	Danish	54.8655	9.36284
dar	Different	North-Central Dargwa	42.4257	47.4388
ded	Different	Dedua	-6.38206	147.627
des	Different	Desano	0.58157	290.5045
deu	Same	German	48.649	12.4676
dgc	Same	Casiguran-Nagtipunan Agta	16.2176	121.878
dgi	Same	Northern Dagara	11.0441	-3.0124
dgr	Same	Dogrib	63.17	242.75
dgz	Same	Daga	-9.9747	149.263
dhm	Same	Zemba	-17.2958	13.4424
dig	Same	Digo	-4.62101	39.1752
dik	Same	Southwestern Dinka	8.81115	28.0613
dip	Same	Northeastern Dinka	9.27995	31.8392
dis	Same	Dimasa	25.4198	93.1806
dje	Same	Zarma	12.8554	2.41173
djk	Same	Aukan	4.3126	305.3581
djr	Different	Djambarrpuyngu	-12.021	135.59
dks	Same	Southeastern Dinka	7.02206	31.285
dnj	Same	Nuclear Dan	7.27	-8.15
dob	Same	Dobu	-9.63239	150.825
dop	Same	Lukpa	9.51949	1.66954
dow	Same	Doyayo	8.68604	13.0768
dru	Same	Rukai	22.7738	120.844
dtp	Same	Kadazan Dusun	6.02998	116.681
dts	Different	Toro So Dogon	14.40749	-3.10006
due	Same	Umiray Dumaget Agta	14.8757	121.508
dug	Same	Duruma	-4.09629	39.322
duo	Same	Dupaninan Agta	17.3748	122.188
dur	Same	Dii	7.77412	13.9884
dwr	Different	Dawro	6.95	37
dww	Same	Dawawa	-10.1692	149.999
dyi	Same	Djimini Senoufo	8.36279	-4.45627
dyo	Same	Jola-Fonyi	12.75752	-15.7354766667
ebk	Same	Eastern Bontok	17.08	121.17
efi	Same	Efik	4.89379	8.38121
eka	Same	Ekajuk	6.45731	8.55058
eko	Same	Koti	-16.4823	39.7602
ell	Different	Modern Greek	38.36	23.13
emi	Same	Mussau-Emira	-1.44105	149.624
emp	Different	Northern Emberá	7.12761	282.426
enb	Same	Markweeta	1.15018	35.5866
eng	Same	English	53	-1
enm	Same	Middle English	51.65	-1.11
enx	Same	Enxet Sur	-23.427556	302.054374
epo	Different	Esperanto	49.3273	2.81045
eri	Same	Ogea	-5.37766	145.71
ese	Same	Ese Ejja	-11.7268	292.485
esi	Same	North Alaskan Inupiatun	69.582	216.23
esk	Same	Seward Alaska Inupiatun	64.77955	198.19334
ekk	Different	Estonian	58.55	25.82
esu	Different	Central Alaskan Yupik	60.3062	198.514
etr	Different	Edolo	-6.11618	142.65
etu	Same	Ejagham	5.54442	8.90959
eus	Different	Basque	43.2787	-1.31622
eve	Different	Even	70.6687	130.914
ewe	Same	Ewe	6.46061	0.814975
ewo	Same	Ewondo	4.21141	11.93646
eza	Same	Ezaa	NA	NA
faa	Different	Fasu	-6.62687	143.284
fad	Same	Wagi (Papua New Guinea)	-5.17834	145.726
fai	Same	Faiwol	-5.4967	141.656
fal	Same	South Fali	9.51408	13.6164
fao	Same	Faroese	62.0732	-6.88497
ffm	Same	Maasina Fulfulde	11.1324	-3.64763
fij	Same	Fijian	-18	178.33
fil	Different	Filipino	12.265	123.464
fin	Different	Finnish	64.7628	25.5577
fon	Same	Fon	7.15484	1.66495
for	Same	Fore	-6.64473	145.5065
fra	Same	French	48	2
fry	Same	Western Frisian	53.143	5.86091
fub	Same	Adamawa Fulfulde	8.140326	13.077338
fue	Same	Borgu Fulfulde	9.801	3.988
fuf	Same	Pular	12.1826	-12.7338
fuh	Same	Western Niger Fulfulde	14.2471	-0.52004
fuq	Same	Central-Eastern Niger Fulfulde	15.0907	8.43261
fuv	Same	Hausa States Fulfulde	10.9972	11.1188
gaa	Same	Ga	5.65488	-0.18598
gag	Different	Gagauz	44.59876	28.02769
gah	Different	Alekano	-6.03901	145.387
gai	Different	Borei	-4.08697	144.715
gam	Same	Kandawo	-5.73674	144.966
gaw	Same	Nobonob	-5.06952	145.712
gbi	Same	Galela	2.31461	128.44
gbo	Same	Northern Grebo	5.17103	-8.1409
gbr	Same	Gbagyi	9.29842	6.90495
gde	Same	Gude	10.2138	13.403
gdg	Same	Ga'dang	17.2238	121.455
gdn	Same	Umanakaina	-9.89671	149.658
gdr	Different	Wipi	-8.79741	143.064
geb	Same	Kire	-4.25927	144.711
gej	Same	Gen	6.25971	1.67727
gfk	Same	Patpatar	-3.74711	152.493
ghe	Different	Southern Ghale	28.106	84.8511
ghs	Different	Guhu-Samane	-7.99922	147.228
gid	Same	Gidar	9.874715	14.07845
gil	Same	Gilbertese	0.179	173.64
giz	Same	South Giziga	10.2809	14.1931
gjn	Same	Gonja	8.48801	-0.72757
gkn	Same	Gokana	4.61889	7.34457
gkp	Same	Guinea Kpelle	7.93196	-8.98843
gla	Same	Scottish Gaelic	56.7574	-5.24366
gle	Same	Irish	53.2186	-7.61509
glk	Same	Gilaki	37.1344	49.8359
glv	Same	Manx	54.2604	-4.45437
gmv	Different	Gamo	6.27645	37.23808
gnb	Different	Gangte	24.5113	94.1681
gnd	Same	Zulgo-Gemzek	10.827	14.0578
gng	Same	Ngangam	10.2523	0.70509
gnn	Different	Gumatj	-12.25254	136.83042
gnw	Same	Western Bolivian Guaraní	-20.2819	295.8338
gof	Different	Gofa	6.57645	37.05
gog	Same	Gogo	-6.35951	35.4807
gom	Different	Goan Konkani	15.2732	74.2098
gor	Same	Gorontalo	0.62689	122.288
got	Different	Gothic	46.9304	29.9786
gqr	Same	Gor	8.0841	17.0713
grc	Different	Ancient Greek	39.8155	21.9129
grt	Different	Garo	25.2954	90.462
gso	Same	Southwest Gbaya	4.70037	14.9569
gub	Same	Guajajára	-4.69461	314.2919
guc	Same	Wayuu	11.395566	287.800209
gud	Same	Yocoboué Dida	5.40126	-5.12242
gug	Different	Paraguayan Guaraní	-25.60551	302.91184
guh	Same	Guahibo	5.81736	291.0161
gui	Same	Eastern Bolivian Guaraní	-20.42	296.63
guj	Different	Gujarati	22.687	71.0962
guk	Same	Northern Gumuz	11.05	35.93
gul	Same	Sea Island Creole English	33.6632	280.3964
gum	Different	Guambiano	2.55849	283.418
gun	Same	Mbyá Guaraní	-26.0188	307.289
guo	Same	Guayabero	2.8969	288.156
guq	Different	Aché	-25.5865	303.5303
gur	Same	Farefare	11.0918	-0.81109
guw	Same	Gun	6.48529	2.76767
gux	Same	Gourmanchéma	11.6711	1.28489
guz	Same	Gusii	-0.78872	34.76751
gvc	Same	Kotiria	1.07554	290.4295
gvf	Same	Golin	-6.2249	144.8505
gvl	Same	Gulay	9.06629	17.3151
gvn	Same	Kuku-Yalanji	-16.0036	145.188
gwi	Same	Gwich'in	67.4307	217.037
gya	Same	Northwest Gbaya	5.9503	15.2569
gym	Different	Ngäbere	8.8251	277.6089
gyr	Same	Guarayu	-15.8247	298.3066
hae	Same	Eastern Oromo	8.67428	41.4395
hag	Same	Hanga	9.33929	-1.57833
hak	Same	Hakka Chinese	25	116
hat	Same	Haitian	18.795135	287.863885
hau	Same	Hausa	11.1513	8.7804
haw	Same	Hawaiian	19.6297	204.57
hay	Same	Haya	-1.70878	31.4846
hch	Same	Huichol	21.954	255.938
heb	Same	Modern Hebrew	31.1056	35.0179
heg	Same	Helong	-10.2647	123.377
heh	Same	Hehe	-7.71572	35.7255
hif	Same	Fiji Hindi	-17.8148	177.772
hig	Same	Kamwe	10.646	13.5136
hil	Same	Hiligaynon	10.4018	122.974
hin	Same	Hindi	25	77
hix	Same	Hixkaryána	-0.16265	301.19847
hla	Same	Halia	-5.26603	154.662
hlt	Same	Nga La	23.312	92.83
hmo	Same	Hiri Motu	-9.33333	147.083
hmr	Different	Hmar	24.7534	93.5497
hne	Same	Chhattisgarhi	20.3601	82.0483
hnj	Same	Hmong Njua	22.5638	101.95
hnn	Same	Hanunoo	12.4159	121.221
hns	Same	Caribbean Hindustani	5.722918	304.666832
hop	Same	Hopi	35.7653	249.465
hot	Same	Hote	-7.07708	146.869
hra	Different	Hrangkhol	24.4559	93.351
hrv	Different	Croatian Standard	45.555	15.982
hto	Same	Minica Huitoto	-1.54535	286.8893
hub	Different	Huambisa	-3.99109	282.0203
hui	Different	Huli	-5.97212	142.963
hun	Different	Hungarian	46.9068585714	19.6555271429
hus	Same	Huastec	21.6153	261.4972
huu	Different	Murui Huitoto	-1.13669	286.1669
huv	Same	San Mateo del Mar Huave	16.2129	264.9923
